underlying,upx,type,expiration,data_date,strike,bid,ask,implied_vol,delta,dly_opt_pnl,dly_dh_pnl
SPY,266.5799865722656,call,2018-05-18,2018-04-27,272,1.159999966621399,1.1699999570846558,0.11403419626925185,0.2623428894418678,0.3200000524520874,0.09894141666210514
SPY,264.5299987792969,call,2018-05-18,2018-04-30,272,0.5299999713897705,0.5400000214576721,0.11110268822057766,0.15063630889369561,0.6299999356269836,-0.5377997209279793
SPY,264.9599914550781,call,2018-05-18,2018-05-01,272,0.5600000023841858,0.5699999928474426,0.10932763414277197,0.16373045484214105,-0.029999971389770508,0.06477250953101109
SPY,263.1700134277344,call,2018-05-18,2018-05-02,272,0.27000001072883606,0.2800000011920929,0.1138232660250534,0.09142840903203503,0.28999999165534973,-0.29307391657443055
SPY,262.5899963378906,call,2018-05-18,2018-05-03,272,0.20000000298023224,0.20999999344348907,0.11046477090754288,0.07592062603381766,0.07000000774860382,-0.05303003973580499
SPY,265.9200134277344,call,2018-05-18,2018-05-04,272,0.4300000071525574,0.4399999976158142,0.10506402720665305,0.1517616530227942,-0.23000000417232513,0.25281698216424914
SPY,266.9200134277344,call,2018-05-18,2018-05-07,272,0.5,0.5099999904632568,0.10398745148353865,0.1791375274998961,-0.06999999284744263,0.1517616530227942
SPY,266.8900146484375,call,2018-05-18,2018-05-08,272,0.38999998569488525,0.4000000059604645,0.10305399011684263,0.15550631467779158,0.10999998450279236,-0.005373907151257259
SPY,269.4700012207031,call,2018-05-18,2018-05-09,272,0.8299999833106995,0.8399999737739563,0.09730212115953707,0.30253295540489933,-0.4399999678134918,0.40120420377121513
SPY,272,call,2018-05-18,2018-05-10,272,1.6699999570846558,1.690000057220459,0.1009957004252182,0.5010379245076311,-0.8500000834465027,0.7654080078714712
SPY,272.6400146484375,call,2018-05-18,2018-05-11,272,1.8899999856948853,1.909999966621399,0.09741247782932175,0.5829346597603464,-0.21999990940093994,0.32067161110760617
SPY,272.95001220703125,call,2018-05-18,2018-05-14,272,1.7400000095367432,1.7599999904632568,0.09401031540785344,0.6048608331480136,0.1499999761581421,0.1807083213453857
SPY,271.0299987792969,call,2018-05-18,2018-05-15,272,0.8700000047683716,0.8799999952316284,0.1070197029028648,0.3934196408542603,0.8799999952316284,-1.1613409215547876
SPY,272.1499938964844,call,2018-05-18,2018-05-16,272,1.1100000143051147,1.1200000047683716,0.09939854679545056,0.5501379596161129,-0.24000000953674316,0.44062807676243143
SPY,272.010009765625,call,2018-05-18,2018-05-17,272,0.5899999737739563,0.6000000238418579,0.08948969011682605,0.4922783637017551,0.5199999809265137,-0.07701058412961151
SPY,271.3399963378906,call,2018-05-18,2018-05-18,272,0,0,0,0,0.6000000238418579,-0.32983311386328223
SPY,271.3399963378906,call,2018-06-15,2018-05-18,275,1.4600000381469727,1.4700000286102295,0.10070615246457915,0.3090878522460353,-0.009999990463256836,0
SPY,273.3599853515625,call,2018-06-15,2018-05-21,275,2.0999999046325684,2.130000114440918,0.10211918548444433,0.40314606573429734,-0.6600000858306885,0.624354065796427
SPY,272.5799865722656,call,2018-06-15,2018-05-22,275,1.7200000286102295,1.7300000190734863,0.10147203273971021,0.3587695421774099,0.40000009536743164,-0.31445343915108964
SPY,273.3699951171875,call,2018-06-15,2018-05-23,275,1.7899999618530273,1.7999999523162842,0.09781006365025131,0.3858745830951119,-0.06999993324279785,0.28343100397786286
